Time(s),Current(A),Voltage(V),Cycle,dt_s,current_avg,dCap_mAh,Cumulative_Capacity_mAh,Status
528.0,9.376208402219948,52.5473491511043,3.0,14.0,9.14775294602596,35.57459479010096,-468.66598255501117,Charge
547.0,8.698246931831756,54.18323313568633,3.0,19.0,9.037227667025853,47.69647935374755,-420.9695032012636,Charge
558.0,10.24673038617862,52.88238703776535,3.0,11.0,9.472488659005187,28.943715346960293,-392.0257878543033,Charge
567.0,11.32886609486498,52.30156910127887,3.0,9.0,10.787798240521798,26.969495601304494,-365.0562922529988,Charge
586.0,8.580316578790772,52.69398083307613,3.0,19.0,9.954591336827875,52.53812094436933,-312.51817130862946,Charge
600.0,8.893416570094747,53.412366982250255,3.0,14.0,8.73686657444276,33.97670334505518,-278.5414679635743,Charge
612.0,8.317303805444963,52.623094494169855,3.0,12.0,8.605360187769854,28.684533959232848,-249.85693400434144,Charge
620.0,10.728867442604004,52.705479345359336,3.0,8.0,9.523085624024484,21.162412497832186,-228.69452150650926,Charge
628.0,-18.8820098099333,44.74089201415131,3.0,8.0,-4.076571183664648,-9.05904707481033,-237.7535685813196,Discharge
641.0,-16.84725120245305,46.80831418137977,3.0,13.0,-17.864630506193176,-64.51116571680869,-302.2647342981283,Discharge
649.0,-22.1403335503705,46.115915031720654,3.0,8.0,-19.493792376411776,-43.319538614248394,-345.5842729123767,Discharge
654.0,-21.758834302881738,44.073165948180176,3.0,5.0,-21.94958392662612,-30.485533231425165,-376.0698061438019,Discharge
660.0,-27.335771306577332,43.65900616208173,3.0,6.0,-24.547302804729533,-40.912171341215895,-416.98197748501775,Discharge
665.0,-22.206149383000845,43.95717675863135,3.0,5.0,-24.77096034478909,-34.40411158998484,-451.3860890750026,Discharge
670.0,-25.00797856193629,45.82400767632631,3.0,5.0,-23.607063972468566,-32.787588850650785,-484.17367792565335,Discharge
681.0,-29.242837689596165,46.54578233826025,3.0,11.0,-27.125408125766228,-82.8831914953968,-567.0568694210501,Discharge
699.0,-8.735186049666481,44.98838017402653,3.0,18.0,-18.989011869631323,-94.94505934815662,-662.0019287692068,Discharge
716.0,-22.381704263137387,42.81429712693289,3.0,17.0,-15.558445156401934,-73.47043546078692,-735.4723642299937,Discharge
733.0,8.440204483690257,53.93252432306713,4.0,17.0,-6.970749889723565,-32.917430034805726,-768.3897942647994,Discharge
750.0,10.595110966780824,54.48372758564088,4.0,17.0,9.51765772523554,44.94449481361227,-723.4452994511871,Charge
762.0,11.311369642225886,52.65969439560529,4.0,12.0,10.953240304503355,36.51080101501118,-686.9344984361759,Charge
774.0,10.01694931469795,53.89700244158139,4.0,12.0,10.664159478461919,35.54719826153973,-651.3873001746362,Charge
789.0,8.26589744618909,52.32222258536381,4.0,15.0,9.14142338044352,38.089264085181334,-613.2980360894549,Charge
803.0,8.687781458750978,52.17714950951373,4.0,14.0,8.476839452470035,32.965486759605696,-580.3325493298491,Charge
811.0,9.354844060430567,52.931632750497535,4.0,8.0,9.021312759590773,20.047361687979496,-560.2851876418697,Charge
816.0,9.618316786857594,53.74251228105648,4.0,5.0,9.486580423644082,13.175806143950114,-547.1093814979196,Charge
834.0,8.169456245186753,53.44161333716733,4.0,18.0,8.893886516022175,44.46943258011087,-502.6399489178087,Charge
846.0,11.06997638792994,52.77963281752093,4.0,12.0,9.619716316558346,32.06572105519449,-470.5742278626142,Charge
858.0,-9.751314536139986,46.35544990605052,4.0,12.0,0.6593309258949764,2.197769752983255,-468.3764581096309,Charge
875.0,-24.01831330863628,47.13617315980768,4.0,17.0,-16.884813922388133,-79.73384352238841,-548.1103016320193,Discharge
887.0,-8.224475562435408,43.43146128900114,4.0,12.0,-16.121394435535844,-53.73798145178614,-601.8482830838054,Discharge
892.0,-7.040719904072187,43.31313707266557,4.0,5.0,-7.632597733253798,-10.600830185074718,-612.4491132688802,Discharge
902.0,-19.47096647566112,46.085782032961006,4.0,10.0,-13.255843189866653,-36.821786638518475,-649.2708999073986,Discharge
911.0,-23.388008340485825,47.1624296323227,4.0,9.0,-21.42948740807347,-53.573718520183675,-702.8446184275823,Discharge
919.0,-16.451281471503528,42.37053863346232,4.0,8.0,-19.919644905994677,-44.26587756887706,-747.1104959964593,Discharge
925.0,-12.210045546684103,44.32867398244296,4.0,6.0,-14.330663509093815,-23.884439181823026,-770.9949351782824,Discharge
933.0,-28.043731553697462,44.58926887011933,4.0,8.0,-20.126888550190785,-44.72641900042396,-815.7213541787064,Discharge
949.0,-11.770782318861237,43.817261787657394,4.0,16.0,-19.90725693627935,-88.47669749457489,-904.1980516732813,Discharge
965.0,10.112915746770074,54.58743999471209,5.0,16.0,-0.8289332860455811,-3.6841479379803603,-907.8821996112616,Discharge
971.0,11.264551001839829,53.225814298392216,5.0,6.0,10.688733374304952,17.81455562384159,-890.0676439874201,Charge
979.0,10.766144635877374,54.484319721818274,5.0,8.0,11.0153478188586,24.47855070857467,-865.5890932788454,Charge
1004.0,9.584416510770785,54.56420804607,5.0,25.0,10.17528057332408,70.66167064808388,-794.9274226307616,Charge
1012.0,8.282111628388355,53.97898034496834,5.0,8.0,8.93326406957957,19.851697932399045,-775.0757246983626,Charge
1018.0,10.957671436878252,53.44406489266239,5.0,6.0,9.619891532633304,16.03315255438884,-759.0425721439738,Charge
1034.0,10.949089493624331,53.28832270795784,5.0,16.0,10.953380465251293,48.68169095667241,-710.3608811873014,Charge
1053.0,11.134874386625992,54.391747733367374,5.0,19.0,11.041981940125162,58.277126906216125,-652.0837542810852,Charge
1067.0,11.55190439716692,52.72543418403391,5.0,14.0,11.343389391896455,44.11318096848622,-607.9705733125991,Charge
1077.0,-7.383382298997429,44.58512911577645,5.0,10.0,2.0842610490847457,5.789614025235404,-602.1809592873636,Charge
1091.0,-8.454229039433322,43.21068028812143,5.0,14.0,-7.918805669215375,-30.795355380282018,-632.9763146676456,Discharge
1109.0,-7.625704913051223,45.84076194573301,5.0,18.0,-8.039966976242273,-40.19983488121136,-673.176149548857,Discharge
1122.0,-20.117431455561523,47.732562078314885,5.0,13.0,-13.871568184306373,-50.09177399888413,-723.2679235477411,Discharge
1130.0,-15.837548780893908,45.7393536398968,5.0,8.0,-17.977490118227713,-39.94997804050603,-763.2179015882472,Discharge
1137.0,-16.36854574656173,43.01013449016893,5.0,7.0,-16.103047263727817,-31.311480790581868,-794.529382378829,Discharge
1144.0,-13.164422671418126,42.22164207621745,5.0,7.0,-14.766484208989928,-28.712608184147083,-823.2419905629761,Discharge
1154.0,-9.927848966190602,42.1931913098907,5.0,10.0,-11.546135818804364,-32.07259949667879,-855.3145900596548,Discharge
1166.0,-17.35130401455071,46.31586056542984,5.0,12.0,-13.639576490370656,-45.46525496790218,-900.779845027557,Discharge
1174.0,11.845477261011435,52.649429564671095,6.0,8.0,-2.752913376769637,-6.117585281710305,-906.8974303092673,Discharge
1190.0,11.209586435167614,52.33765195026498,6.0,16.0,11.527531848089524,51.23347488039788,-855.6639554288694,Charge
1205.0,11.215746269026278,54.29195760868125,6.0,15.0,11.212666352096946,46.71944313373727,-808.9445122951321,Charge
1210.0,8.69086837840818,53.28793071987282,6.0,5.0,9.95330732371723,13.824037949607261,-795.1204743455248,Charge
1227.0,11.666595150478887,52.24653495759402,6.0,17.0,10.178731764443533,48.06623333209446,-747.0542410134303,Charge
1245.0,11.950385567227386,52.81394110928003,6.0,18.0,11.808490358853136,59.04245179426568,-688.0117892191646,Charge
1261.0,11.725454710202266,54.28979290176356,6.0,16.0,11.837920138714825,52.61297839428811,-635.3988108248765,Charge
1275.0,9.4106474042451,52.981061696513926,6.0,14.0,10.568051057223684,41.09797633364766,-594.3008344912288,Charge
1289.0,11.702822207026232,53.26897325404462,6.0,14.0,10.556734805635667,41.05396868858315,-553.2468658026456,Charge
1306.0,9.428867008778296,54.53080497748135,6.0,17.0,10.565844607902264,49.89426620398291,-503.3525995986627,Charge
1314.0,-25.71147910989985,42.60325053857078,6.0,8.0,-8.141306050560779,-18.091791223468395,-521.4443908221311,Discharge
1333.0,-14.508665667866866,44.09994746547117,6.0,19.0,-20.11007238888336,-106.13649316355107,-627.5808839856822,Discharge
1352.0,-10.097051457377802,43.06893180222471,6.0,19.0,-12.302858562622333,-64.9317535249512,-692.5126375106335,Discharge
1369.0,-15.49200944484469,46.92760197924599,6.0,17.0,-12.794530451111244,-60.41861601913644,-752.93125352977,Discharge
1378.0,-9.3942026352169,47.56604667043749,6.0,9.0,-12.443106040030793,-31.107765100076985,-784.039018629847,Discharge
1388.0,-19.944325813734764,45.5560535488406,6.0,10.0,-14.66926422447583,-40.74795617909953,-824.7869748089465,Discharge
1405.0,-13.942764748393497,46.7164787574185,6.0,17.0,-16.94354528106413,-80.0111860494695,-904.798160858416,Discharge
1421.0,-9.54729598432613,46.165436978934025,6.0,16.0,-11.745030366359812,-52.20013496159916,-956.9982958200152,Discharge
1429.0,-22.23273647088394,45.4489601455896,6.0,8.0,-15.890016227605033,-35.31114717245563,-992.3094429924708,Discharge
1434.0,-9.319580571532056,46.94103155853129,6.0,5.0,-15.776158521207996,-21.911331279455553,-1014.2207742719264,Discharge
1443.0,9.22506659239318,53.30633509057748,7.0,9.0,-0.047256989569436136,-0.11814247392359034,-1014.33891674585,Discharge
1459.0,8.953814413998543,52.07814776224857,7.0,16.0,9.089440503195863,40.39751334753717,-973.9414033983129,Charge
1472.0,11.72254463898379,54.54997830055386,7.0,13.0,10.338179526491167,37.33231495677366,-936.6090884415393,Charge
1487.0,9.613748684989831,54.46356925929021,7.0,15.0,10.668146661986812,44.45061109161172,-892.1584773499276,Charge
1502.0,10.499719583666757,53.92493050308698,7.0,15.0,10.056734134328295,41.90305889303456,-850.255418456893,Charge
1513.0,8.588540231559625,54.280678664762085,7.0,11.0,9.544129907613193,29.162619162151422,-821.0927992947417,Charge
1529.0,9.77298295018668,54.50014824589673,7.0,16.0,9.180761590873153,40.80338484832512,-780.2894144464166,Charge
1541.0,8.90518570861847,53.18265542981738,7.0,12.0,9.339084329402578,31.130281098008595,-749.159133348408,Charge
1559.0,10.362905556902955,52.42793047865394,7.0,18.0,9.634045632760714,48.17022816380357,-700.9889051846044,Charge
1566.0,9.281956530873329,53.29484295910882,7.0,7.0,9.822431043888145,19.099171474226946,-681.8897337103774,Charge
1578.0,-21.52682835788137,45.720884218747656,7.0,12.0,-6.1224359135040185,-20.40811971168006,-702.2978534220575,Discharge
1586.0,-8.254919893326594,46.667797612108245,7.0,8.0,-14.890874125603979,-33.09083139023107,-735.3886848122886,Discharge
1604.0,-6.96830816418025,47.90401243092613,7.0,18.0,-7.611614028753419,-38.0580701437671,-773.4467549560557,Discharge
1621.0,-22.18170995570726,43.09525996785659,7.0,17.0,-14.575009059943751,-68.8264316719566,-842.2731866280122,Discharge
1638.0,-26.669571303624544,45.68009492591524,7.0,17.0,-24.4256406296659,-115.34330297342231,-957.6164896014345,Discharge
1656.0,-14.127897288774404,45.907886254203326,7.0,18.0,-20.39873429619947,-101.99367148099736,-1059.610161082432,Discharge
1669.0,-9.2122827536855,47.879604966448014,7.0,13.0,-11.67009002122995,-42.14199174333037,-1101.7521528257623,Discharge
1680.0,-26.380709723403516,44.867088426012906,7.0,11.0,-17.796496238544503,-54.3781829511082,-1156.1303357768704,Discharge
1691.0,-24.832700795478157,46.7380931767365,7.0,11.0,-25.60670525944083,-78.24271051495808,-1234.3730462918286,Discharge
1701.0,-13.12677855987882,43.11514987515343,7.0,10.0,-18.979739677678484,-52.721499104662456,-1287.094545396491,Discharge
1712.0,9.038737051707058,53.93344020719686,8.0,11.0,-2.044020754085876,-6.245618970817954,-1293.340164367309,Discharge
1722.0,10.55102969140112,52.23353901392237,8.0,10.0,9.794883371554093,27.208009365428037,-1266.1321550018808,Charge
1739.0,9.163331877282264,52.82338958294303,8.0,17.0,9.857180784341697,46.547798148280236,-1219.5843568536006,Charge
1755.0,10.133969730858729,53.75771049021142,8.0,16.0,9.648650804070503,42.882892462535565,-1176.701464391065,Charge
1767.0,9.814665549400672,53.11115297108089,8.0,12.0,9.974317640129705,33.247725467099016,-1143.453738923966,Charge
1773.0,8.324622130357017,52.70294950000302,8.0,6.0,9.06964383987885,15.11607306646475,-1128.3376658575014,Charge
1788.0,8.468690663099247,52.83584568635997,8.0,15.0,8.396656396728137,34.98606831970057,-1093.351597537801,Charge
1798.0,9.532519679663896,52.98009094617476,8.0,10.0,9.000605171381576,25.00168103161549,-1068.3499165061853,Charge
1807.0,10.381163939862189,54.42078271281868,8.0,9.0,9.956841809763048,24.89210452440762,-1043.4578119817777,Charge
1816.0,9.180658296470884,53.88124463108272,8.0,9.0,9.780911118166543,24.452277795416357,-1019.0055341863614,Charge
1830.0,-13.879478421901062,46.59087425782966,8.0,14.0,-2.3494100627150836,-9.136594688336436,-1028.1421288746978,Discharge
1844.0,-29.16040734050956,46.398268549432416,8.0,14.0,-21.519942881205306,-83.68866676024285,-1111.8307956349406,Discharge
1862.0,-9.36332291868927,45.899759318603394,8.0,18.0,-19.26186512959941,-96.30932564799706,-1208.1401212829376,Discharge
1877.0,-25.022977734159408,42.14528569930812,8.0,15.0,-17.193150326424334,-71.6381263601014,-1279.7782476430389,Discharge
1882.0,-5.306729874803818,47.836232317457856,8.0,5.0,-15.164853804481607,-21.062296950668898,-1300.8405445937078,Discharge
1899.0,-14.789437092951545,45.36700533707645,8.0,17.0,-10.048083483877676,-47.44928311831125,-1348.2898277120191,Discharge
1918.0,-23.288636012598168,46.55825974403776,8.0,19.0,-19.039036552774853,-100.48380402853395,-1448.7736317405531,Discharge
1929.0,-10.531567818214992,47.401648419638846,8.0,11.0,-16.910101915406575,-51.6697558526312,-1500.4433875931843,Discharge
1936.0,-21.90197689202225,44.145913975941,8.0,7.0,-16.216772355118614,-31.532612912730634,-1531.976000505915,Discharge
1953.0,-24.38143953981627,44.513501428427375,8.0,17.0,-23.141708215919255,-109.28028879739648,-1641.2562893033114,Discharge
1964.0,10.855778012304098,52.513243618547165,9.0,11.0,-6.762830763756081,-20.664205111476917,-1661.9204944147882,Discharge
1977.0,8.690415665067656,53.93575747855193,9.0,13.0,9.773096838685882,35.29173858414347,-1626.6287558306446,Charge
1984.0,9.502397587991773,52.81149616937636,9.0,7.0,9.09640662652972,17.687457329363347,-1608.9412985012814,Charge
2000.0,10.528810199016668,53.91322206496478,9.0,16.0,10.015603893504226,44.513795082241,-1564.4275034190405,Charge
2015.0,10.908683509324836,52.6089693040456,9.0,15.0,10.718746854170757,44.66144522571149,-1519.766058193329,Charge
2034.0,10.599219704526824,52.4323826180174,9.0,19.0,10.753951606925835,56.756966814330795,-1463.0090913789982,Charge
2043.0,11.394420110696178,53.95716505683914,9.0,9.0,10.996819907611506,27.492049769028764,-1435.5170416099695,Charge
2049.0,11.672784240534682,52.60348060162544,9.0,6.0,11.533602175615435,19.222670292692392,-1416.2943713172772,Charge
2067.0,9.515956316629635,54.01131962200777,9.0,18.0,10.594370278582165,52.97185139291082,-1363.3225199243664,Charge
2078.0,9.643993819366866,52.212147737782765,9.0,11.0,9.579975067998255,29.27214604110578,-1334.0503738832606,Charge
2093.0,-15.096950027951928,47.83414901930518,9.0,15.0,-2.726478104292526,-11.360325434552193,-1345.4106993178127,Discharge
2099.0,-29.761312738383022,47.64180064233974,9.0,6.0,-22.42913138316747,-37.381885638612445,-1382.7925849564251,Discharge
2109.0,-8.839606720221266,47.07643577107999,9.0,10.0,-19.30045972930214,-53.612388136950386,-1436.4049730933755,Discharge
2115.0,-27.955122334723665,47.66144946248183,9.0,6.0,-18.39736452747246,-30.662274212454104,-1467.0672473058296,Discharge
2126.0,-27.890253560820955,44.55698035655864,9.0,11.0,-27.922687947772303,-85.3193242848598,-1552.3865715906893,Discharge
2143.0,-22.29501704160943,45.51158636116944,9.0,17.0,-25.09263530121519,-118.49300003351617,-1670.8795716242055,Discharge
2157.0,-15.951192045822513,47.86790707255813,9.0,14.0,-19.123104543715968,-74.36762878111766,-1745.2472004053232,Discharge
2170.0,-29.342860278910347,42.19495711220211,9.0,13.0,-22.647026162366423,-81.78092780854541,-1827.0281282138685,Discharge
2187.0,-28.746821883412647,45.35700881332787,9.0,17.0,-29.044841081161493,-137.15619399437372,-1964.1843222082423,Discharge
2198.0,-19.7297282820552,42.72818040037292,9.0,11.0,-24.238275082733917,-74.06139608613142,-2038.2457182943738,Discharge
2208.0,10.03636354376695,52.20417556800545,10.0,10.0,-4.846682369144119,-13.463006580955888,-2051.7087248753296,Discharge
2222.0,11.389230706660786,52.797252302360896,10.0,14.0,10.712797125213873,41.660877709165064,-2010.0478471661645,Charge
2234.0,8.658485013917623,53.50522925832476,10.0,12.0,10.02385786028921,33.41285953429737,-1976.634987631867,Charge
2244.0,11.250734242699972,53.143494062274165,10.0,10.0,9.954609628308802,27.651693411968896,-1948.9832942198982,Charge
2253.0,10.998037092645356,51.99877911413088,10.0,9.0,11.12438566767267,27.810964169181673,-1921.1723300507165,Charge
2269.0,9.022399166930898,53.95656782917243,10.0,16.0,10.010218129788132,44.48985835461392,-1876.6824716961025,Charge
2286.0,10.357664559424236,54.1771378844354,10.0,17.0,9.690031863177573,45.758483798338546,-1830.923987897764,Charge
2300.0,9.416627351397953,54.06810136659328,10.0,14.0,9.8871459554111,38.450012048820945,-1792.473975848943,Charge
2316.0,9.477365201434566,54.57254067509074,10.0,16.0,9.446996276416264,41.98665011740562,-1750.4873257315373,Charge
2327.0,9.656340767196893,54.11295676765177,10.0,11.0,9.566852984315734,29.23205078540919,-1721.255274946128,Charge
2340.0,-5.748461955804583,45.28134010929395,10.0,13.0,1.9539394056961603,7.055892298347246,-1714.1993826477808,Charge
2346.0,-8.226612229818642,47.9317973033389,10.0,6.0,-6.987537092811607,-11.645895154686013,-1725.8452778024669,Discharge
2356.0,-14.736002658869374,42.74111728644751,10.0,10.0,-11.481307444344003,-31.89252067873334,-1757.7377984812001,Discharge
2366.0,-19.02765690497161,45.56127870663798,10.0,10.0,-16.881829781920487,-46.893971616445796,-1804.6317700976458,Discharge
2385.0,-16.450131583776404,47.11674407489604,10.0,19.0,-17.738894244374002,-93.62194184530725,-1898.253711942953,Discharge
2401.0,-10.761955866942916,42.53213823345314,10.0,16.0,-13.606043725359655,-60.471305446042905,-1958.7250173889959,Discharge
2418.0,-14.062716909163257,46.12601292896086,10.0,17.0,-12.412336388053081,-58.61381072136177,-2017.3388281103576,Discharge
2431.0,-26.930585439418053,45.47180377263866,10.0,13.0,-20.496651174290648,-74.01568479604957,-2091.3545129064073,Discharge
2439.0,-25.54508318530824,46.86860399354763,10.0,8.0,-26.23783431236314,-58.3062984719181,-2149.6608113783254,Discharge
2451.0,-13.597154165489544,43.97512897732208,10.0,12.0,-19.571118675398886,-65.23706225132962,-2214.897873629655,Discharge
2463.0,9.618749104004031,54.23924658237456,11.0,12.0,-1.9892025307427508,-6.630675102475836,-2221.5285487321307,Discharge
2477.0,11.07653788789493,53.215606097104825,11.0,14.0,10.347643495949486,40.240835817581335,-2181.2877129145495,Charge
2494.0,11.45672636632097,52.38126817375827,11.0,17.0,11.266632127107954,53.203540600232,-2128.0841723143176,Charge
2511.0,9.900557522859875,53.82053153962536,11.0,17.0,10.678641944590428,50.426920293899244,-2077.657252020418,Charge
2529.0,11.062771447724838,53.78803956548944,11.0,18.0,10.481664485292363,52.40832242646181,-2025.2489295939563,Charge
2538.0,11.32282894590478,53.51063328474345,11.0,9.0,11.192800196814815,27.982000492037038,-1997.2669291019192,Charge
2550.0,9.807802741139938,52.37841217288289,11.0,12.0,10.565315843522363,35.21771947840788,-1962.0492096235114,Charge
2560.0,10.121203634039524,53.242502708699696,11.0,10.0,9.964503187589736,27.679175521082602,-1934.3700341024287,Charge
2575.0,9.244080547659394,53.62824567050889,11.0,15.0,9.682642090849464,40.3443420452061,-1894.0256920572226,Charge
2589.0,9.126807022686467,54.23402124637728,11.0,14.0,9.185443785172936,35.72117027567253,-1858.3045217815502,Charge
2600.0,-23.381655415465552,44.70133322502095,11.0,11.0,-7.127424196389537,-21.77824060007914,-1880.0827623816294,Discharge
2616.0,-21.859887323070964,47.06417238951462,11.0,16.0,-22.620771369268255,-100.53676164119224,-1980.6195240228217,Discharge
2632.0,-11.434125916511448,46.48149821196591,11.0,16.0,-16.6470066197912,-73.98669608796088,-2054.6062201107825,Discharge
2639.0,-9.44940655656417,44.30716135908848,11.0,7.0,-10.441766236537804,-20.303434348823508,-2074.909654459606,Discharge
2656.0,-12.772607727839617,42.54700262327981,11.0,17.0,-11.111007142201888,-52.468644838175585,-2127.3782992977817,Discharge
2661.0,-27.646139472285174,44.94687648077965,11.0,5.0,-20.209373600062392,-28.068574444531098,-2155.4468737423126,Discharge
2671.0,-5.9666035660889065,44.75377418512058,11.0,10.0,-16.806371519187035,-46.6843653310751,-2202.131239073388,Discharge
2679.0,-23.181378596142384,44.572311840783605,11.0,8.0,-14.57399108111564,-32.38664684692365,-2234.5178859203115,Discharge
2697.0,-18.83584720489555,46.27693131839938,11.0,18.0,-21.008612900518962,-105.0430645025948,-2339.5609504229064,Discharge
2702.0,-8.397061373585686,42.95237649517283,11.0,5.0,-13.616454289240613,-18.911742068389742,-2358.472692491296,Discharge
2712.0,11.276224785098258,53.14987194453124,12.0,10.0,1.4395817057562912,3.9988380715452534,-2354.4738544197508,Charge
2724.0,11.089663766058024,53.34456546560002,12.0,12.0,11.182944275578146,37.27648091859382,-2317.197373501157,Charge
2730.0,9.89405999472735,53.48629099761081,12.0,6.0,10.491861880392692,17.486436467321155,-2299.7109370338358,Charge
2748.0,11.400991949409846,53.41766777668496,12.0,18.0,10.647525972068603,53.23762986034302,-2246.4733071734927,Charge
2761.0,9.232887184495176,52.5669528319136,12.0,13.0,10.316939566952517,37.255615102884086,-2209.217692070609,Charge
2770.0,8.493663634977768,53.83694043696437,12.0,9.0,8.863275409736477,22.158188524341195,-2187.0595035462675,Charge
2786.0,9.237088530424804,53.32511801664701,12.0,16.0,8.865376082701292,39.40167147867241,-2147.657832067595,Charge
2805.0,8.058499994098716,53.06494783047112,12.0,19.0,8.647794262261765,45.64113638415932,-2102.0166956834355,Charge
2823.0,10.058782655679511,53.93264937565855,12.0,18.0,9.05864132488912,45.2932066244456,-2056.72348905899,Charge
2837.0,9.578421178823852,52.50357949116199,12.0,14.0,9.818601917251687,38.18345190042323,-2018.5400371585665,Charge
2852.0,-25.17546758369753,45.50609920698986,12.0,15.0,-7.798523202436833,-32.49384667682014,-2051.033883835387,Discharge
2864.0,-24.35004259128254,44.58698399474629,12.0,12.0,-24.762755087490028,-82.54251695830008,-2133.576400793687,Discharge
2869.0,-16.45484463230251,46.24633369855721,12.0,5.0,-20.40244361179252,-28.336727238600723,-2161.9131280322877,Discharge
2881.0,-25.37163186254418,45.320673813197416,12.0,12.0,-20.91323824742334,-69.7107941580778,-2231.6239221903656,Discharge
2892.0,-9.510763461574124,43.10143661965829,12.0,11.0,-17.441197662059146,-53.29254841184739,-2284.916470602213,Discharge
